tensorflow|Computation using data flow graphs for scalable machine learning|101561|101561|63763|Apache License 2.0|1624|153.39178|C++|{'C++': 48.09, 'Python': 40.83, 'HTML': 5.21, 'Jupyter Notebook': 2.46, 'Go': 1.28, 'Java': 0.84, 'Shell': 0.48, 'C': 0.34, 'CMake': 0.23, 'Objective-C++': 0.11, 'Makefile': 0.05, 'PureBasic': 0.03, 'Objective-C': 0.01, 'Batchfile': 0.01, 'Perl': 0.01, 'Smarty': 0.01, 'LLVM': 0.01, 'PHP': 0.0, 'Ruby': 0.0}
TensorFlow-Examples|TensorFlow Tutorial and Examples for Beginners with Latest APIs|22670|22670|8262|Other|126|104.73594|Jupyter Notebook|{'Jupyter Notebook': 99.28, 'Python': 0.72}
tensorflow-zh|谷歌全新开源人工智能系统TensorFlow官方文档中文版|8744|8744|3563|NO LICENSE|26|101.07128|TeX|{'TeX': 95.01, 'Python': 4.37, 'C++': 0.59, 'HTML': 0.04}
models|Models and examples built with TensorFlow|36054|36054|20834|Apache License 2.0|961|99.573586|Python|{'Python': 69.2, 'Jupyter Notebook': 18.39, 'C++': 10.29, 'HTML': 0.97, 'Shell': 0.88, 'JavaScript': 0.22, 'Makefile': 0.03, 'GLSL': 0.01}
awesome-tensorflow|TensorFlow - A curated list of dedicated resources http://tensorflow.org|11752|11752|1974|Creative Commons Zero v1.0 Universal|22|97.6725||{}
stanford-tensorflow-tutorials|This repository contains code examples for the Stanford's course: TensorFlow for Deep Learning Research. |6409|6409|2903|MIT License|69|92.820114|Python|{'Python': 100.0}
tensorflow|图解tensorflow 源码|1491|1491|467|NO LICENSE|1|92.661606||{}
DCGAN-tensorflow|"A tensorflow implementation of ""Deep Convolutional Generative Adversarial Networks"""|4209|4209|1685|MIT License|123|92.624825|JavaScript|{'JavaScript': 50.95, 'Python': 23.02, 'HTML': 15.43, 'CSS': 10.6}
facenet|Face recognition using Tensorflow|4686|4686|2006|MIT License|189|91.77292|Python|{'Python': 92.81, 'Matlab': 7.19}
tensorflow_cookbook|Code for Tensorflow Machine Learning Cookbook|3199|3199|1481|MIT License|14|90.92002|Jupyter Notebook|{'Jupyter Notebook': 86.63, 'Python': 13.37}
tensorflow_tutorials|From the basics to slightly more interesting applications of Tensorflow|4915|4915|1028|Other|12|89.661674|Jupyter Notebook|{'Jupyter Notebook': 86.69, 'Python': 13.31}
